"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100n","~","74th:Capacitor_0603_1608","1",""
"CH1","SWD 1Wire","","74th:PinOut_Pin_3_3GND","1",""
"D1","Blue","~","74th:LED_BACK_0805_2012","1",""
"J1","USB-C Plug","","74th:Connector_USB-C-Plug_24-Pin","1",""
"J2","USB2.0-C_SMT","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","74th:Connector_USB-C-Receptacle_SMT_12-Pin_MidMount","1",""
"R1","56k","~","74th:Register_0603_1608","1",""
"R2","10k","~","74th:Register_0603_1608","1",""
"SW1","SW_Push","~","74th:Switch_MXChoc_1.0u","1",""
"U1","CH217K","","74th:Package_SOT-23-6","1",""
"U2","CH32V003J4M6","","74th:Package_SOIC-8_3.9x4.9mm_P1.27mm","1",""
