"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","100n","~","74th:Capacitor_0805_2012","2",""
"C3","1u","~","74th:Capacitor_0805_2012","1",""
"CH1","UART Port.C","","74th:Connector_HY-2.0_SMD_4Pin","1",""
"D1","Red","~","74th:LED_0805_2012","1",""
"D2","LED","~","74th:LED_0805_2012","1",""
"J1","USB_TypeA-2.0_Plug","~","74th:Connector_USB-A-Plug_TH","1",""
"R1","10k","~","74th:Register_0805_2012","1",""
"R2","5.1kR","~","74th:Register_0805_2012","1",""
"U1","CH9329","","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","1",""
"U2","CH213K","","Package_TO_SOT_SMD:SOT-23","1",""
